"Gen","ID","Fitness"
"988",1,"i 8",23510
"989",1,"i 9",14830
"990",1,"i 10",13230
"991",1,"i 1",15630
"992",1,"i 2",23960
"993",1,"i 3",21100
"994",1,"i 4",10510
"995",1,"i 5",14380
"996",1,"i 6",23090
"997",1,"i 7",14070
"998",1,"i 8",23510
"999",1,"i 9",14830
"1000",1,"i 10",13230
"1001",25,"i 1",14210
"1002",25,"i 2",10900
"1003",25,"i 3",10250
"1004",25,"i 4",12780
"1005",25,"i 5",10470
"1006",25,"i 6",11240
"1007",25,"i 7",10150
"1008",25,"i 8",8640
"1009",25,"i 9",11410
"1010",25,"i 10",11470
"1011",25,"i 1",14210
"1012",25,"i 2",10900
"1013",25,"i 3",10250
"1014",25,"i 4",12780
"1015",25,"i 5",10110
"1016",25,"i 6",11240
"1017",25,"i 7",10150
"1018",25,"i 8",10210
"1019",25,"i 9",11410
"1020",25,"i 10",11470
"1021",25,"i 1",14210
"1022",25,"i 2",10900
"1023",25,"i 3",9940
"1024",25,"i 4",12780
"1025",25,"i 5",10110
"1026",25,"i 6",11240
"1027",25,"i 7",10150
"1028",25,"i 8",8640
"1029",25,"i 9",11410
"1030",25,"i 10",11470
"1031",25,"i 1",14210
"1032",25,"i 2",10900
"1033",25,"i 3",10250
"1034",25,"i 4",12780
"1035",25,"i 5",10470
"1036",25,"i 6",11180
"1037",25,"i 7",10150
"1038",25,"i 8",8640
"1039",25,"i 9",11410
"1040",25,"i 10",11470
"1041",25,"i 1",14210
"1042",25,"i 2",10900
"1043",25,"i 3",9940
"1044",25,"i 4",12780
"1045",25,"i 5",11110
"1046",25,"i 6",11240
"1047",25,"i 7",10150
"1048",25,"i 8",8640
"1049",25,"i 9",11410
"1050",25,"i 10",11470
"1051",25,"i 1",14210
"1052",25,"i 2",10900
"1053",25,"i 3",9940
"1054",25,"i 4",12780
"1055",25,"i 5",11110
"1056",25,"i 6",11240
"1057",25,"i 7",9700
"1058",25,"i 8",9080
"1059",25,"i 9",11410
"1060",25,"i 10",11470
"1061",25,"i 1",14210
"1062",25,"i 2",10900
"1063",25,"i 3",10250
"1064",25,"i 4",12780
"1065",25,"i 5",11420
